index,pg,intc
1,87.849998,28.540001
2,88.360001,27.82
3,89.459999,28.6
4,88.230003,29.08
5,89.75,28.52
6,88.660004,29.5
7,88.349998,29.24
8,88.849998,29.27
9,89.220001,29.469999
10,90,29.389999
11,89.059998,29.73
12,88.540001,29.77
13,88.57,29.709999
14,88.239998,29.02
15,88.43,29.16
16,87.830002,28.67
17,87.449997,28.74
18,85.540001,28.48
19,84.93,28.809999
20,84.330002,28.76
21,84.099998,29.24
22,86.970001,30.139999
23,87.400002,30
24,86.580002,30.51
25,86.839996,31.209999
26,86.800003,31.74
27,86.849998,32.32
28,86.739998,32.52
29,86.599998,32.139999
30,85.080002,32.209999
31,86.559998,32.040001
32,87.459999,32.799999
33,85.93,32.75
34,82.959999,33.040001
35,83.580002,33.59
36,83,33.439999
37,83.620003,33.369999
38,83.190002,34.400002
39,83.07,34.900002
40,82,34.59
41,82.639999,34.470001
42,82.760002,34.709999
43,82.68,34.029999
44,83.459999,33.860001
45,83.07,34.110001
46,82.889999,34.310001
47,82.459999,34.150002
48,81.860001,34
49,82.400002,33.84
50,82.989998,33.349998
51,82.910004,33.209999
52,84.18,32.860001
53,83.5,32.400002
54,84.370003,32.110001
55,85.129997,32.099998
56,85.18,32.639999
57,84.370003,33.16
58,84.68,34.299999
59,84.68,34.66
60,84.709999,34.48
61,84.57,34.360001
62,84.279999,34.450001
63,84.470001,34.459999
64,84.959999,34.77
65,84.599998,35.09
66,84.07,34.830002
67,84.349998,34.040001
68,84.080002,34.939999
69,84.199997,34.990002
70,84.5,34.75
71,85.059998,34.810001
72,85.029999,34.77
73,84.400002,34.27
74,83.489998,34.470001
75,83.75,35.18
76,83.839996,35.299999
77,84.010002,34.91
78,85.209999,33.869999
79,84.93,34.240002
80,84.699997,34.73
81,87.449997,35
82,86.959999,34.98
83,87.860001,34.93
84,87.160004,35.439999
85,86.599998,34.990002
86,86.720001,34.450001
87,86.75,33.990002
88,87.599998,33.830002
89,87.330002,33.080002
90,87.760002,31.84
91,87.410004,31.51
92,87.400002,32.060001
93,88.010002,32.68
94,88.330002,31.91
95,88.669998,32.740002
96,87.970001,29.76
97,88.309998,29.799999
98,87.860001,29.59
99,91.120003,29.66
100,90.790001,29.93
101,91.089996,29.6
102,91.669998,29.940001
103,91.440002,29.809999
104,91.129997,29.969999
105,91.050003,31.02
106,90.889999,30.82
107,91.07,29.799999
108,91.660004,29.34
109,90.910004,29.77
110,90.5,29.040001
111,90.370003,28.82
112,90.290001,28.809999
113,90.139999,28.23
114,90.339996,28.219999
115,91.07,28.639999
116,91.309998,28.780001
117,91,29.469999
118,91.400002,29.42
119,91.440002,28.709999
120,91,29.35
121,91.220001,28.799999
122,91.190002,29.190001
123,90.989998,29.620001
124,90.769997,29.799999
125,90.57,29.59
126,90.489998,30.370001
127,90.760002,30.540001
128,90.599998,30.58
129,90.199997,30.629999
